"Bias" "RMSE" "Variance" "Time"
"TWFE" -31.917 32.212 18.89 0.001
"TWFE (T*X)" -16.331 16.832 16.641 0.001
"TWFE (T*X+D*X)" -1.707 4.897 21.068 0.001
"IPW" -20.356 21.968 68.219 0.012
"RA" -31.28 32.087 51.159 0.011
"DRDiD" -4.402 6.354 20.99 0.016
"LASSO DRDiD" 0.387 5.082 25.679 1.141
"RF DRDiD" -4.422 7.089 30.706 3.102
"3IPWRA" -0.385 3.913 15.167 0.025
"LASSO 3IPWRA" -2.453 4.627 15.393 2.142
"RF 3IPWRA" 0.39 2.893 8.219 1.355
"3WDRDiD" -0.285 4.708 22.08 0.018
