"Bias" "RMSE" "Variance" "Time"
"TWFE" -16.355 17.106 25.127 0.001
"TWFE (T*X)" -3.03 5.838 24.904 0.001
"TWFE (T*X+D*X)" -2.727 5.317 20.834 0.001
"IPW" -3.702 10.439 95.264 0.014
"RA" -5.242 9.909 70.7 0.01
"DRDiD" -2.555 4.727 15.814 0.015
"LASSO DRDiD" -1.72 4.116 13.981 1.14
"RF DRDiD" -2.175 5.618 26.835 3.117
"3IPWRA" -2.578 4.787 16.267 0.026
"LASSO 3IPWRA" -2.794 5.301 20.292 1.991
"RF 3IPWRA" -1.47 3.333 8.951 1.233
"3WDRDiD" -2.634 4.838 16.466 0.018
