"Bias" "RMSE" "Variance" "Time"
"TWFE" -27.136 27.329 10.517 0.001
"TWFE (T*X)" -16.878 17.125 8.4 0.001
"TWFE (T*X+D*X)" -5.427 5.51 0.907 0.002
"IPW" -12.451 15.333 80.08 0.013
"RA" -31.668 32.569 57.879 0.011
"DRDiD" 0.008 0.216 0.047 0.015
"LASSO DRDiD" -0.197 0.387 0.111 1.068
"RF DRDiD" -2.473 5.993 29.807 3.114
"3IPWRA" 5.198 5.368 1.801 0.025
"LASSO 3IPWRA" 0.876 1.507 1.503 0.582
"RF 3IPWRA" 2.136 2.376 1.083 1.345
"3WDRDiD" 4.867 5.281 4.205 0.018
