"Bias" "RMSE" "Variance" "Time"
"TWFE" -20.013 20.545 21.604 0.001
"TWFE (T*X)" -8.938 9.891 17.948 0.001
"TWFE (T*X+D*X)" 1.779 4.977 21.607 0.001
"IPW" -4.714 10.086 79.51 0.014
"RA" -14.373 16.118 53.19 0.01
"DRDiD" 1.028 4.372 18.061 0.016
"LASSO DRDiD" 1.754 4.408 16.351 1.096
"RF DRDiD" -0.127 5.219 27.222 3.115
"3IPWRA" 3.404 5.244 15.914 0.016
"LASSO 3IPWRA" 0.493 3.758 13.878 2.078
"RF 3IPWRA" 1.538 3.125 7.401 1.369
"3WDRDiD" 4.493 6.445 21.351 0.018
