"Bias" "RMSE" "Variance" "Time"
"TWFE" -19.095 19.449 13.67 0.001
"TWFE (T*X)" -0.066 3.254 10.586 0.001
"TWFE (T*X+D*X)" 0.001 0.194 0.038 0.002
"IPW" -1.191 9.739 93.436 0.014
"RA" -0.369 8.305 68.842 0.01
"DRDiD" 0.008 0.21 0.044 0.016
"LASSO DRDiD" -0.004 0.346 0.12 1.119
"RF DRDiD" -0.27 5.377 28.839 3.245
"3IPWRA" 0.006 0.207 0.043 0.039
"LASSO 3IPWRA" 0.003 0.197 0.039 0.522
"RF 3IPWRA" 0.002 0.212 0.045 1.273
"3WDRDiD" -0.002 0.552 0.304 0.019
