"Bias" "RMSE" "Variance" "Time"
"TWFE" -20.686 21.021 13.991 0.001
"TWFE (T*X)" -0.131 3.066 9.386 0.001
"TWFE (T*X+D*X)" 0.006 0.185 0.034 0.001
"IPW" -0.259 9.927 98.48 0.014
"RA" -0.308 7.995 63.833 0.01
"DRDiD" 0.006 0.203 0.041 0.018
"LASSO DRDiD" -0.116 0.345 0.106 1.007
"RF DRDiD" -0.871 4.738 21.686 3.147
"3IPWRA" 0.007 0.203 0.041 0.045
"LASSO 3IPWRA" -0.007 0.216 0.047 1.878
"RF 3IPWRA" 0.007 0.212 0.045 1.24
"3WDRDiD" 0.027 0.438 0.191 0.019
