"Bias" "RMSE" "Variance" "Time"
"TWFE" -0.06 3.733 13.929 0.001
"TWFE (T*X)" -0.178 2.852 8.105 0.001
"TWFE (T*X+D*X)" 0.009 0.184 0.034 0.001
"IPW" 0.596 12.032 144.413 0.014
"RA" -0.022 9.976 99.53 0.013
"DRDiD" 0.009 0.184 0.034 0.018
"LASSO DRDiD" 0.016 0.375 0.141 1.045
"RF DRDiD" -0.406 4.959 24.428 3.331
"3IPWRA" 0.008 0.185 0.034 0.014
"LASSO 3IPWRA" -0.005 0.186 0.035 2.082
"RF 3IPWRA" 0.012 0.193 0.037 1.255
"3WDRDiD" 0.07 0.632 0.395 0.019
