"Bias" "RMSE" "Variance" "Time"
"TWFE" -13.22 14.12 24.609 0.001
"TWFE (T*X)" -0.459 4.875 23.559 0.002
"TWFE (T*X+D*X)" -0.3 4.852 23.45 0.001
"IPW" 0.204 9.439 89.05 0.013
"RA" -1.563 8.317 66.732 0.01
"DRDiD" -0.095 4.087 16.698 0.015
"LASSO DRDiD" -0.142 3.657 13.351 1.089
"RF DRDiD" 0.033 5.061 25.61 3.121
"3IPWRA" -0.113 4.134 17.081 0.02
"LASSO 3IPWRA" 0.006 4.265 18.193 1.873
"RF 3IPWRA" 0.004 3.089 9.543 1.244
"3WDRDiD" -0.155 4.144 17.145 0.02
