"Bias" "RMSE" "Variance" "Time"
"TWFE" 0.228 5.167 26.647 0.001
"TWFE (T*X)" 0.157 4.702 22.083 0.001
"TWFE (T*X+D*X)" 0.119 4.187 17.517 0.001
"IPW" -0.074 9.643 92.988 0.012
"RA" -0.075 8.449 71.383 0.011
"DRDiD" 0.114 4.178 17.441 0.015
"LASSO DRDiD" 0.105 3.23 10.42 1.147
"RF DRDiD" -0.35 4.462 19.792 3.209
"3IPWRA" 0.089 4.159 17.292 0.044
"LASSO 3IPWRA" 0.112 4.164 17.327 0.456
"RF 3IPWRA" 0.379 2.875 8.122 1.246
"3WDRDiD" 0.123 4.155 17.252 0.018
